provider_id,provider_name,logo_path
8,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg
1796,Netflix basic with Ads,/kICQccvOh8AIBMHGkBXJ047xeHN.jpg
381,Canal+,/eBXzkFEupZjKaIKY7zBUaSdCY8I.jpg
350,Apple TV Plus,/2E03IAZsX4ZaUqM7tXlctEPMGWS.jpg
119,Amazon Prime Video,/dQeAar5H991VYporEjUspolDarG.jpg
337,Disney Plus,/7YPdUs60C9qQQQfOFCgxpnF07D9.jpg
56,OCS Go,/z64xZ5CIT6k4VyI5ThKtxJARDOZ.jpg
685,OCS Amazon Channel ,/oYsPBkqP7QjliFT758DrR9i2mpl.jpg
531,Paramount Plus,/h5DcR0J2EESLitnhR8xLG1QymTE.jpg
582,Paramount+ Amazon Channel,/hExO4PtimLIYn3kBOrzsejNv7cT.jpg
1853,Paramount Plus Apple TV Channel ,/tJqmTmQ8jp9WfyaZfApHK8lSywA.jpg
701,FilmBox+,/fbveJTcro9Xw2KuPIIoPPePHiwy.jpg
513,Shadowz,/qwRq7klF8EijYs7XgvxSaYd6v6w.jpg
1736,Shadowz Amazon Channel,/vBbNBDZnpnhgHe5ZO9CVur4DmkG.jpg
1967,Molotov TV,/8qSG9LtUhBQIWy2Fr6fzeW7gBdd.jpg
588,MGM Amazon Channel,/8U0SUpB5Jq6dW1N5cSo8EmJJtjL.jpg
11,MUBI,/fj9Y8iIMFUC6952HwxbGixTQPb7.jpg
201,MUBI Amazon Channel,/a4IDLKjvP5gvq7tNlg2Xw5YyEkI.jpg
138,FILMO,/br0wtjMDSjMahkhzn5XAXYWyr3V.jpg
1734,Filmo Amazon Channel,/4clLD3X9nTapdRey1FgcSUPYRy3.jpg
1732,Universcine Amazon Channel,/uPhMKOrup9jtJHIci8FXo3D6y5x.jpg
1715,Shahid VIP,/7qZED0kLBtiV8mLRNBtW4PQCAqW.jpg
1889,Universal+ Amazon Channel,/4ABGBjAMtRrYUrr0w3QfanuiaoB.jpg
1870,Pass Warner Amazon Channel,/6XLxMoxqVCZRTkAavMwnsbpx3XU.jpg
415,Anime Digital Networks,/w86FOwg0bbgUSHWWnjOTuEjsUvq.jpg
1888,Animation Digital Network Amazon Channel,/9jmtFeqCWvTSYpMMUPNhk8JNJWS.jpg
310,LaCinetek,/1syoSwH2yIskHUqeOiK9re8AMJC.jpg
1735,Insomnia Amazon Channel,/nJ43DUei5yK9wWG3g9YpYT4UfN4.jpg
1733,Action Max Amazon Channel,/1PhTUiq01Z82nvuJlDNYtBnRRN0.jpg
692,Cultpix,/uauVx3dGWt0GICqdMCBYJObd3Mo.jpg
445,Classix,/uFjAjvrKMII0H766QzyHDNkZdKX.jpg
1738,Benshi Amazon Channel,/yXSOt0AKxG28wXhnBaogQGwF7Rq.jpg
551,Magellan TV,/mSH24WQcRDJ2fsL5iucXqqRnSRb.jpg
236,France TV,/maeiT4ORBxykOVlaW9gCsLuFPnS.jpg
1737,INA  madelen Amazon Channel,/zg1uFDzIchkwrwOW6dq7LFxB4n6.jpg
283,Crunchyroll,/mXeC4TrcgdU6ltE9bCBCEORwSQR.jpg
309,Sun Nxt,/6KEQzITx2RrCAQt5Nw9WrL1OI8z.jpg
554,BroadwayHD,/6IYZ4NjwPikxN7J9cfSmuyeHeMm.jpg
569,DocAlliance Films,/vbXJBJVv3u3YWt6ml0l0ldDblXT.jpg
1887,BrutX Amazon Channel,/2HsZxiwKi9Ym91r6WY9ojORvq79.jpg
444,Dekkoo,/x6nRFzF32hCzMHaVM4RHRo7lsgS.jpg
315,Hoichoi,/u7dwMceEbjxd1N3TLEUBILSK2x6.jpg
188,YouTube Premium,/rMb93u1tBeErSYLv79zSTR07UdO.jpg
550,Tenk,/7up8PVB6RaL0fDs5XFzjJlq9mg2.jpg
567,True Story,/aRPDQvVcpeY07sjI6lAALMCL0ti.jpg
